,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Android Ver
0,926,29,4.3,-1.2405436440968733,-0.7891792914588007,-0.20780527344410132,1,0.18852161094893471,1,105,7
1,8031,11,4.8,-1.1685170647578649,-0.7891792914588007,-0.2078000765261656,1,0.5615391210482431,1,37,6
2,3909,11,3.3,-0.8271737104990853,-0.7891792914588007,-0.2067710867748932,0,-0.05912229342647969,1,37,5
3,6217,6,2.3,-1.1413766145721516,-0.7891792914588007,-0.20775850118267986,1,0.033356257330254,1,34,9
4,6117,1,3.2,-1.130416048150998,-0.7849419534930928,-0.2067710867748932,0,-0.05912229342647969,1,12,14
5,6444,26,4.4,-0.6366686274647512,-0.7849419534930928,-0.2067710867748932,0,-0.05912229342647969,1,93,8
6,5622,23,4.7,-1.1392888876347889,-0.7849419534930928,-0.20261355242631787,0,-0.05912229342647969,1,78,23
7,4765,11,4.3,-1.2389778488938514,-0.7849419534930928,-0.20775850118267986,0,-0.05912229342647969,1,37,9
8,7542,29,4.4,-1.0991001440905594,-0.7849419534930928,-0.20770653200332265,1,0.12645546950146244,1,105,19
9,6098,29,4.4,-1.0411657215787482,-0.7849419534930928,-0.20770653200332265,1,0.12645546950146244,1,105,16
10,4329,11,3.9,-0.7895946256265591,-0.7849419534930928,-0.20770653200332265,0,-0.05912229342647969,1,50,7
11,7954,24,3.7,-0.8287395057021072,-0.7849419534930928,-0.20261355242631787,0,-0.05912229342647969,1,79,7
12,924,23,4.2,-1.1168458230581413,-0.7849419534930928,-0.20770653200332265,0,-0.05912229342647969,1,78,5
13,1541,29,3.9,-1.0923150315441312,-0.7849419534930928,-0.2067710867748932,0,-0.05912229342647969,1,105,7
14,7444,29,3.9,-1.220710238191929,-0.7849419534930928,-0.20770653200332265,0,-0.05912229342647969,1,105,7
15,1689,23,4.5,-0.4727820628817897,-0.7849419534930928,-0.2067710867748932,0,-0.05912229342647969,1,78,12
16,1747,11,4.3,-1.206096149630391,-0.7849419534930928,-0.20770653200332265,0,-0.05912229342647969,1,37,6
17,4615,6,4.6,-1.2087058083020943,-0.7849419534930928,-0.2078000765261656,1,0.09542239877772629,1,34,6
18,3749,14,4.0,-1.0703938987018242,-0.7849419534930928,-0.20729077856846512,0,-0.05912229342647969,1,21,2
19,2335,26,3.7,-0.9707049374427617,-0.7849419534930928,-0.2067710867748932,0,-0.05912229342647969,1,93,12
20,2333,26,3.6,-1.23793398542517,-0.7849419534930928,-0.20770653200332265,0,-0.05912229342647969,1,93,12
21,2377,28,4.5,-1.165385474351821,-0.7849419534930928,-0.20770653200332265,0,-0.05912229342647969,1,99,6
22,3368,11,4.3,-0.21286005918015022,-0.7849419534930928,-0.2067710867748932,1,0.8091830254236575,1,89,8
23,2622,23,4.1,-0.6011772695295875,-0.7849419534930928,-0.20729077856846512,1,0.002323186606517862,1,78,5
24,4916,32,4.2,-0.6711161219312335,-0.7849419534930928,-0.20261355242631787,0,-0.05912229342647969,1,113,2
25,5143,29,4.0,-0.9555689171468831,-0.7849419534930928,-0.2067710867748932,0,-0.05912229342647969,1,105,7
26,5729,0,3.8,-0.6585897603070581,-0.7807046155273851,-0.2067710867748932,0,-0.05912229342647969,1,10,16
27,4262,8,4.0,-0.6168352215598067,-0.7807046155273851,-0.2067710867748932,0,-0.05912229342647969,1,37,12
28,6929,11,3.9,-0.7603664485034831,-0.7807046155273851,-0.20770653200332265,1,0.25058775239640696,1,16,12
29,5613,20,4.7,-1.2447190979715985,-0.7807046155273851,-0.2078000765261656,1,0.25058775239640696,1,69,9
30,5752,20,2.8,-1.223319896863632,-0.7807046155273851,-0.20729077856846512,0,-0.05912229342647969,1,69,14
31,4144,25,4.4,0.4687827858687276,-0.7807046155273851,-0.1974166344905987,0,-0.05912229342647969,1,80,6
32,414,25,4.5,-1.2019206957556658,-0.7807046155273851,-0.20729077856846512,0,-0.05912229342647969,1,80,12
33,4771,20,2.4,-1.204530354427369,-0.7807046155273851,-0.20770653200332265,0,-0.05912229342647969,1,69,19
34,7776,29,4.2,-1.1737363821012712,-0.7807046155273851,-0.20775850118267986,1,0.002323186606517862,1,105,19
35,5467,24,3.5,-1.2175786477858852,-0.7807046155273851,-0.2078000765261656,1,1.1815798741084909,1,79,16
36,6165,11,3.8,-0.8866739282139184,-0.7807046155273851,-0.20729077856846512,0,-0.05912229342647969,1,50,12
37,415,25,3.6,-1.2441971662372577,-0.7807046155273851,-0.20775850118267986,0,-0.05912229342647969,1,80,12
38,1693,29,4.6,1.1869608523214503,-0.7807046155273851,-0.10387211164765366,0,-0.05912229342647969,1,105,7
39,2764,15,3.8,-1.2181005795202258,-0.7807046155273851,-0.2078000765261656,1,0.25058775239640696,1,60,6
40,4463,11,4.4,-1.178433767710337,-0.7807046155273851,-0.20770653200332265,0,-0.05912229342647969,1,50,6
41,3001,25,4.2,-0.016613727068068997,-0.7807046155273851,-0.1974166344905987,0,-0.05912229342647969,1,80,6
42,3054,25,3.5,-0.984797094269959,-0.7807046155273851,-0.2067710867748932,0,-0.05912229342647969,1,80,11
43,3052,32,4.2,-0.29114981933124645,-0.7807046155273851,-0.1974166344905987,0,-0.05912229342647969,1,113,5
44,2862,29,3.8,-0.37309310162272713,-0.7764672775616772,-0.10387211164765366,0,-0.05912229342647969,1,105,25
45,3988,25,4.2,0.6274500331082826,-0.7764672775616772,-0.10387211164765366,0,-0.05912229342647969,1,80,23
46,1910,29,4.2,-1.1617319522114364,-0.7764672775616772,-0.20770653200332265,0,-0.05912229342647969,1,105,12
47,275,11,2.9,-1.2342804632847857,-0.7764672775616772,-0.20775850118267986,0,-0.05912229342647969,1,37,5
48,6598,15,2.8,-0.8830204060735339,-0.7764672775616772,-0.2067710867748932,0,-0.05912229342647969,1,60,12
49,1398,14,4.1,-0.043232245519441714,-0.7764672775616772,-0.1974166344905987,0,-0.05912229342647969,1,6,12
50,1055,14,4.8,-1.123109003870229,-0.7764672775616772,-0.2078000765261656,1,0.15748854022519856,1,14,7
51,1056,14,4.6,-1.0103717492526505,-0.7764672775616772,-0.20770653200332265,0,-0.05912229342647969,1,14,7
52,1054,14,4.1,-1.2243637603323134,-0.7764672775616772,-0.20775850118267986,0,-0.05912229342647969,1,14,6
53,1647,31,4.2,-0.466518882069702,-0.7764672775616772,-0.20261355242631787,0,-0.05912229342647969,1,110,5
54,1671,26,4.0,-1.1956575149435782,-0.7764672775616772,-0.20770653200332265,0,-0.05912229342647969,1,93,12
55,2308,19,3.4,-1.2269734190040167,-0.7764672775616772,-0.20770653200332265,0,-0.05912229342647969,1,68,1
56,7992,31,3.7,-1.0980562806218783,-0.7764672775616772,-0.20729077856846512,0,-0.05912229342647969,1,110,17
57,7705,6,4.2,-0.3626544669359143,-0.7764672775616772,-0.2067710867748932,1,0.1208695167711899,1,34,2
58,3071,27,4.1,0.3769228006247747,-0.7764672775616772,-0.1974166344905987,0,-0.05912229342647969,4,98,14
59,3483,29,4.3,-0.16640813482383313,-0.7764672775616772,-0.1974166344905987,0,-0.05912229342647969,1,105,12
60,5142,27,4.1,-1.1251967308075916,-0.7764672775616772,-0.20770653200332265,0,-0.05912229342647969,4,98,9
61,3479,7,3.0,-0.8412658673262826,-0.7722299395959695,-0.2067710867748932,0,-0.05912229342647969,3,36,12
62,5418,12,4.1,-0.029662020426585035,-0.7722299395959695,-0.1974166344905987,0,-0.05912229342647969,1,58,5
63,5999,18,4.6,-0.6643310093848052,-0.7722299395959695,-0.20261355242631787,0,-0.05912229342647969,1,65,7
64,3297,4,4.2,-1.191482061068853,-0.7722299395959695,-0.20770653200332265,0,-0.05912229342647969,1,20,12
65,4888,29,4.2,-0.5849973857650276,-0.7722299395959695,-0.2067710867748932,0,-0.05912229342647969,1,105,12
66,1725,29,4.5,1.231325049740405,-0.7722299395959695,-0.10387211164765366,0,-0.05912229342647969,1,105,6
67,401,25,3.8,-0.3913607123246496,-0.7722299395959695,-0.20261355242631787,0,-0.05912229342647969,1,80,7
68,1987,11,3.3,-0.7984674651103499,-0.7722299395959695,-0.2067710867748932,0,-0.05912229342647969,1,50,6
69,4345,18,3.6,-1.1920039928031938,-0.7722299395959695,-0.20775850118267986,1,0.09542239877772629,1,65,16
70,1312,11,4.6,-1.1418985463064921,-0.7722299395959695,-0.20770653200332265,0,-0.05912229342647969,1,50,5
71,17,3,4.4,-1.2332365998161043,-0.7722299395959695,-0.2078000765261656,1,0.13204142223173493,1,18,6
72,776,21,2.8,-0.9806216403952339,-0.7722299395959695,-0.2067710867748932,0,-0.05912229342647969,1,73,16
73,6308,14,4.1,-1.2363681902221482,-0.7722299395959695,-0.20775850118267986,0,-0.05912229342647969,1,24,9
74,2274,19,3.9,-1.1993110370839626,-0.7722299395959695,-0.20770653200332265,0,-0.05912229342647969,1,68,6
75,2337,14,4.3,-1.2269734190040167,-0.7722299395959695,-0.2078000765261656,0,-0.05912229342647969,1,14,7
76,2448,14,3.2,-0.9378232381793012,-0.7722299395959695,-0.2067710867748932,0,-0.05912229342647969,1,6,1
77,6942,12,4.5,-1.2431533027685766,-0.7722299395959695,-0.20770653200332265,0,-0.05912229342647969,4,58,9
78,3049,29,4.1,-1.0155910665960568,-0.7722299395959695,-0.2067710867748932,0,-0.05912229342647969,1,105,12
79,3064,29,4.4,-1.2290611459413792,-0.7722299395959695,-0.20775850118267986,0,-0.05912229342647969,1,105,23
80,7694,25,4.2,-1.1977452418809407,-0.7722299395959695,-0.20770653200332265,0,-0.05912229342647969,1,80,16
81,3479,7,3.0,-0.8417877990606233,-0.7722299395959695,-0.2067710867748932,0,-0.05912229342647969,3,36,12
82,3403,23,3.5,-1.1648635426174803,-0.7722299395959695,-0.20770653200332265,0,-0.05912229342647969,1,78,2
83,8125,4,4.4,-0.647107262151564,-0.7679926016302616,-0.1974166344905987,0,-0.05912229342647969,1,20,6
84,7570,15,3.7,-0.7206996366935944,-0.7679926016302616,-0.1974166344905987,0,-0.05912229342647969,1,60,7
85,2633,20,2.9,-1.2097496717707754,-0.7679926016302616,-0.20770653200332265,0,-0.05912229342647969,1,69,12
86,533,27,4.2,0.1744132877006058,-0.7679926016302616,-0.1974166344905987,0,-0.05912229342647969,1,98,12
87,4094,24,4.3,1.353457075576115,-0.7679926016302616,-0.10387211164765366,0,-0.05912229342647969,1,79,30
88,438,25,4.4,1.420264337571717,-0.7679926016302616,0.3118813232098799,0,-0.05912229342647969,1,80,8
89,660,22,4.4,-1.1732144503669306,-0.7679926016302616,-0.20770653200332265,0,-0.05912229342647969,1,74,16
90,1509,11,4.8,-1.2290611459413792,-0.7679926016302616,-0.2078000765261656,0,-0.05912229342647969,1,37,14
91,7549,27,3.2,-1.23793398542517,-0.7679926016302616,-0.2078000765261656,1,0.002323186606517862,1,98,27
92,5994,24,4.2,-1.0860518507320434,-0.7679926016302616,-0.20770653200332265,0,-0.05912229342647969,1,79,8
93,406,29,4.2,-0.7655857658468895,-0.7679926016302616,-0.20261355242631787,0,-0.05912229342647969,1,105,23
94,5269,31,4.4,-0.41536957210431913,-0.7679926016302616,-0.1974166344905987,0,-0.05912229342647969,1,110,19
95,999,11,3.7,-1.2285392142070386,-0.7679926016302616,-0.20775850118267986,0,-0.05912229342647969,1,37,12
96,6341,3,4.7,-1.1956575149435782,-0.7679926016302616,-0.2078000765261656,0,-0.05912229342647969,1,18,16
97,1571,29,3.9,-1.191482061068853,-0.7679926016302616,-0.20729077856846512,0,-0.05912229342647969,1,105,9
98,7359,11,4.0,-1.2431533027685766,-0.7679926016302616,-0.20775850118267986,0,-0.05912229342647969,1,37,6
99,6679,29,4.7,0.8064726179871227,-0.7679926016302616,-0.10387211164765366,0,-0.05912229342647969,1,105,7
100,7744,14,4.2,0.3596990533915335,-0.7679926016302616,-0.1974166344905987,0,-0.05912229342647969,1,114,7
101,2330,24,4.3,-1.1565126348680301,-0.7679926016302616,-0.20770653200332265,0,-0.05912229342647969,1,79,12
102,2424,11,3.4,-1.1225870721358884,-0.7679926016302616,-0.20770653200332265,0,-0.05912229342647969,1,50,14
103,6937,3,3.8,-1.2327146680817638,-0.7679926016302616,-0.20770653200332265,0,-0.05912229342647969,1,18,9
104,2929,4,2.9,-1.0975343488875375,-0.7679926016302616,-0.20729077856846512,0,-0.05912229342647969,1,20,6
105,2964,12,4.3,-1.2081838765677535,-0.7679926016302616,-0.20770653200332265,0,-0.05912229342647969,1,58,14
106,533,27,4.2,0.17911067330967156,-0.7679926016302616,-0.1974166344905987,0,-0.05912229342647969,1,98,12
107,4904,27,3.9,-0.5578569355793143,-0.7679926016302616,-0.2067710867748932,0,-0.05912229342647969,4,98,7
108,2000,27,3.6,-1.236890121956489,-0.7679926016302616,-0.20775850118267986,0,-0.05912229342647969,1,98,17
109,6102,12,4.4,-1.2097496717707754,-0.7679926016302616,-0.20770653200332265,0,-0.05912229342647969,1,58,14
110,4962,6,4.1,-1.1278063894792947,-0.7637552636645537,-0.20770653200332265,0,-0.05912229342647969,1,34,6
111,2217,11,4.6,-0.5547253451732704,-0.7637552636645537,-0.2067710867748932,0,-0.05912229342647969,1,16,9
112,412,24,4.1,0.15457988179566143,-0.7637552636645537,-0.1974166344905987,0,-0.05912229342647969,1,79,7
113,309,25,4.5,0.1895493079964844,-0.7637552636645537,-0.10387211164765366,0,-0.05912229342647969,1,80,22
114,3811,29,4.3,-1.1278063894792947,-0.7637552636645537,-0.20775850118267986,1,0.8712491668711297,1,105,12
115,538,31,3.8,1.0309032637535984,-0.7637552636645537,-0.10387211164765366,0,-0.05912229342647969,1,110,12
116,6799,11,4.6,-1.0218542474081445,-0.7637552636645537,-0.20770653200332265,0,-0.05912229342647969,1,37,14
117,6597,15,2.6,-1.1982671736152815,-0.7637552636645537,-0.20770653200332265,0,-0.05912229342647969,1,60,7
118,358,24,3.4,-0.6413660130738169,-0.7637552636645537,-0.2067710867748932,0,-0.05912229342647969,1,79,23
119,866,28,2.6,-1.2243637603323134,-0.7637552636645537,-0.20770653200332265,0,-0.05912229342647969,1,99,14
120,1371,15,3.4,-0.6507607842919484,-0.7637552636645537,-0.20261355242631787,0,-0.05912229342647969,1,60,12
121,1009,27,3.8,-1.241065575831214,-0.7637552636645537,-0.20770653200332265,0,-0.05912229342647969,4,98,2
122,1167,29,4.7,-0.8057745093911189,-0.7637552636645537,-0.20770653200332265,1,0.10162901292247349,1,105,2
123,1586,19,4.5,-1.2254076238009948,-0.7637552636645537,-0.2078000765261656,1,0.002323186606517862,1,68,12
124,4386,11,4.5,-1.2092277400364349,-0.7637552636645537,-0.20729077856846512,0,-0.05912229342647969,1,50,2
125,430,29,4.4,0.03401365116297323,-0.7637552636645537,-0.1974166344905987,0,-0.05912229342647969,1,105,12
126,2468,11,4.6,-1.0338586772979794,-0.7637552636645537,-0.20770653200332265,0,-0.05912229342647969,1,37,14
127,5714,28,4.4,-1.0088059540496286,-0.7637552636645537,-0.20775850118267986,1,0.002943848020992585,1,99,6
128,6917,11,3.0,0.4860065331019688,-0.7637552636645537,-0.15584129100484534,0,-0.05912229342647969,1,25,8
129,5499,18,4.5,0.04132069544374221,-0.7637552636645537,-0.20261355242631787,0,-0.05912229342647969,1,65,6
130,4131,29,4.6,-0.7953358747043061,-0.7637552636645537,-0.2067710867748932,0,-0.05912229342647969,1,105,23
131,7478,29,4.3,-1.0469069706564953,-0.7637552636645537,-0.2067710867748932,0,-0.05912229342647969,1,105,9
132,3864,19,4.2,-1.2248856920666542,-0.7637552636645537,-0.20770653200332265,0,-0.05912229342647969,1,68,12
133,4076,18,4.3,-0.17841256471366787,-0.759517925698846,-0.1974166344905987,0,-0.05912229342647969,1,65,14
134,7535,29,4.1,-0.8449193894666671,-0.759517925698846,-0.20770653200332265,1,0.002323186606517862,1,105,16
135,138,11,1.6,-1.0656965130927585,-0.759517925698846,-0.2067710867748932,0,-0.05912229342647969,1,50,6
136,646,29,3.7,-0.1851976772600962,-0.759517925698846,-0.1974166344905987,0,-0.05912229342647969,1,105,16
137,5805,29,4.1,-0.320899928188663,-0.759517925698846,-0.1974166344905987,0,-0.05912229342647969,1,105,11
138,7701,31,4.1,0.31481292423823837,-0.759517925698846,-0.15584129100484534,0,-0.05912229342647969,1,110,8
139,1177,24,4.1,-1.0061962953779253,-0.759517925698846,-0.20770653200332265,0,-0.05912229342647969,1,79,12
